code	name	releaseDate
LEA	Limited Edition Alpha	1993-08-05
LEB	Limited Edition Beta	1993-10-01
ARN	Arabian Nights	1993-12-01
2ED	Unlimited Edition	1993-12-01
CED	Collector's Edition	1993-12-01
CEI	International Collector's Edition	1993-12-01
pDRC	Dragon Con	1994-01-01
ATQ	Antiquities	1994-03-01
3ED	Revised Edition	1994-04-01
LEG	Legends	1994-06-01
DRK	The Dark	1994-08-01
FEM	Fallen Empires	1994-11-01
pMEI	Media Inserts	1995-01-01
pLGM	Legend Membership	1995-01-01
4ED	Fourth Edition	1995-04-01
ICE	Ice Age	1995-06-01
CHR	Chronicles	1995-07-01
HML	Homelands	1995-10-01
ALL	Alliances	1996-06-10
RQS	Rivals Quick Start Set	1996-07-01
pARL	Arena League	1996-08-02
pCEL	Celebration	1996-08-14
MIR	Mirage	1996-10-08
MGB	Multiverse Gift Box	1996-11-01
ITP	Introductory Two-Player Set	1996-12-31
VIS	Visions	1997-02-03
5ED	Fifth Edition	1997-03-24
pPOD	Portal Demo Game	1997-05-01
POR	Portal	1997-05-01
VAN	Vanguard	1997-05-01
WTH	Weatherlight	1997-06-09
pPRE	Prerelease Events	1997-10-04
TMP	Tempest	1997-10-14
STH	Stronghold	1998-03-02
PO2	Portal Second Age	1998-06-01
pJGP	Judge Gift Program	1998-06-01
EXO	Exodus	1998-06-15
UGL	Unglued	1998-08-11
pALP	Asia Pacific Land Program	1998-09-01
USG	Urza's Saga	1998-10-12
ATH	Anthologies	1998-11-01
ULG	Urza's Legacy	1999-02-15
6ED	Classic Sixth Edition	1999-04-21
PTK	Portal Three Kingdoms	1999-05-01
UDS	Urza's Destiny	1999-06-07
S99	Starter 1999	1999-07-01
pGRU	Guru	1999-07-12
pWOR	Worlds	1999-08-04
pWOS	Wizards of the Coast Online Store	1999-09-04
MMQ	Mercadian Masques	1999-10-04
BRB	Battle Royale Box Set	1999-11-12
pSUS	Super Series	1999-12-01
pFNM	Friday Night Magic	2000-02-01
pELP	European Land Program	2000-02-05
NMS	Nemesis	2000-02-14
S00	Starter 2000	2000-04-01
PCY	Prophecy	2000-06-05
BTD	Beatdown Box Set	2000-10-01
INV	Invasion	2000-10-02
PLS	Planeshift	2001-02-05
7ED	Seventh Edition	2001-04-11
pMPR	Magic Player Rewards	2001-05-01
APC	Apocalypse	2001-06-04
ODY	Odyssey	2001-10-01
DKM	Deckmasters	2001-12-01
TOR	Torment	2002-02-04
JUD	Judgment	2002-05-27
ONS	Onslaught	2002-10-07
LGN	Legions	2003-02-03
SCG	Scourge	2003-05-26
pREL	Release Events	2003-07-26
8ED	Eighth Edition	2003-07-28
MRD	Mirrodin	2003-10-02
DST	Darksteel	2004-02-06
5DN	Fifth Dawn	2004-06-04
CHK	Champions of Kamigawa	2004-10-01
UNH	Unhinged	2004-11-19
BOK	Betrayers of Kamigawa	2005-02-04
SOK	Saviors of Kamigawa	2005-06-03
9ED	Ninth Edition	2005-07-29
RAV	Ravnica: City of Guilds	2005-10-07
p2HG	Two-Headed Giant Tournament	2005-12-09
pGTW	Gateway	2006-01-01
GPT	Guildpact	2006-02-03
pCMP	Champs and States	2006-03-18
DIS	Dissension	2006-05-05
CSP	Coldsnap	2006-07-21
CST	Coldsnap Theme Decks	2006-07-21
TSP	Time Spiral	2006-10-06
TSB	Time Spiral "Timeshifted"	2006-10-06
pHHO	Happy Holidays	2006-12-31
PLC	Planar Chaos	2007-02-02
pPRO	Pro Tour	2007-02-09
pGPX	Grand Prix	2007-02-24
FUT	Future Sight	2007-05-04
10E	Tenth Edition	2007-07-13
pMGD	Magic Game Day	2007-07-14
MED	Masters Edition	2007-09-10
LRW	Lorwyn	2007-10-12
EVG	Duel Decks: Elves vs. Goblins	2007-11-16
pLPA	Launch Parties	2008-02-01
MOR	Morningtide	2008-02-01
p15A	15th Anniversary	2008-04-01
SHM	Shadowmoor	2008-05-02
pSUM	Summer of Magic	2007-07-21
EVE	Eventide	2008-07-25
DRB	From the Vault: Dragons	2008-08-29
ME2	Masters Edition II	2008-09-22
pWPN	Wizards Play Network	2008-10-01
ALA	Shards of Alara	2008-10-03
DD2	Duel Decks: Jace vs. Chandra	2008-11-07
CON	Conflux	2009-02-06
DDC	Duel Decks: Divine vs. Demonic	2009-04-10
ARB	Alara Reborn	2009-04-30
M10	Magic 2010	2009-07-17
V09	From the Vault: Exiled	2009-08-28
HOP	Planechase	2009-09-04
ME3	Masters Edition III	2009-09-07
ZEN	Zendikar	2009-10-02
DDD	Duel Decks: Garruk vs. Liliana	2009-10-30
H09	Premium Deck Series: Slivers	2009-11-20
WWK	Worldwake	2010-02-05
DDE	Duel Decks: Phyrexia vs. the Coalition	2010-03-19
ROE	Rise of the Eldrazi	2010-04-23
DPA	Duels of the Planeswalkers	2010-06-04
ARC	Archenemy	2010-06-18
M11	Magic 2011	2010-07-16
V10	From the Vault: Relics	2010-08-27
DDF	Duel Decks: Elspeth vs. Tezzeret	2010-09-03
SOM	Scars of Mirrodin	2010-10-01
PD2	Premium Deck Series: Fire and Lightning	2010-11-19
ME4	Masters Edition IV	2011-01-10
MBS	Mirrodin Besieged	2011-02-04
DDG	Duel Decks: Knights vs. Dragons	2011-04-01
NPH	New Phyrexia	2011-05-13
CMD	Magic: The Gathering-Commander	2011-06-17
M12	Magic 2012	2011-07-15
V11	From the Vault: Legends	2011-08-26
DDH	Duel Decks: Ajani vs. Nicol Bolas	2011-09-02
ISD	Innistrad	2011-09-30
PD3	Premium Deck Series: Graveborn	2011-11-18
DKA	Dark Ascension	2012-02-03
DDI	Duel Decks: Venser vs. Koth	2012-03-30
AVR	Avacyn Restored	2012-05-04
PC2	Planechase 2012 Edition	2012-06-01
M13	Magic 2013	2012-07-13
V12	From the Vault: Realms	2012-08-31
DDJ	Duel Decks: Izzet vs. Golgari	2012-09-07
RTR	Return to Ravnica	2012-10-05
CM1	Commander's Arsenal	2012-11-02
GTC	Gatecrash	2013-02-01
DDK	Duel Decks: Sorin vs. Tibalt	2013-03-15
pWCQ	World Magic Cup Qualifiers	2013-04-06
DGM	Dragon's Maze	2013-05-03
MMA	Modern Masters	2013-06-07
M14	Magic 2014 Core Set	2013-07-19
V13	From the Vault: Twenty	2013-08-23
DDL	Duel Decks: Heroes vs. Monsters	2013-09-06
THS	Theros	2013-09-27
C13	Commander 2013 Edition	2013-11-01
BNG	Born of the Gods	2014-02-07
DDM	Duel Decks: Jace vs. Vraska	2014-03-14
JOU	Journey into Nyx	2014-05-02
MD1	Modern Event Deck 2014	2014-05-30
CNS	Magic: The Gathering—Conspiracy	2014-06-06
VMA	Vintage Masters	2014-06-16
M15	Magic 2015 Core Set	2014-07-18
CPK	Clash Pack	2014-07-18
V14	From the Vault: Annihilation (2014)	2014-08-22
DDN	Duel Decks: Speed vs. Cunning	2014-09-05
KTK	Khans of Tarkir	2014-09-26
C14	Commander 2014	2014-11-07
DD3_DVD	Duel Decks Anthology, Divine vs. Demonic	2014-12-05
DD3_EVG	Duel Decks Anthology, Elves vs. Goblins	2014-12-05
DD3_GVL	Duel Decks Anthology, Garruk vs. Liliana	2014-12-05
DD3_JVC	Duel Decks Anthology, Jace vs. Chandra	2014-12-05
FRF_UGIN	Ugin's Fate promos	2015-01-17
FRF	Fate Reforged	2015-01-23
DDO	Duel Decks: Elspeth vs. Kiora	2015-02-27
DTK	Dragons of Tarkir	2015-03-27
TPR	Tempest Remastered	2015-05-06
MM2	Modern Masters 2015 Edition	2015-05-22
ORI	Magic Origins	2015-07-17
V15	From the Vault: Angels	2015-08-21
DDP	Duel Decks: Zendikar vs. Eldrazi	2015-08-28
BFZ	Battle for Zendikar	2015-10-02
EXP	Zendikar Expeditions	2015-10-02
C15	Commander 2015	2015-11-13
OGW	Oath of the Gatewatch	2016-01-22
DDQ	Duel Decks: Blessed vs. Cursed	2016-02-26
W16	Welcome Deck 2016	2016-04-08
